Date,Open,High,Low,Close,Adj Close,Volume
2021-01-05,25.100000,25.180000,24.340000,24.760000,24.760000,25431900
2021-01-06,24.650000,24.660000,23.420000,23.459999,23.459999,51799000
2021-01-07,23.639999,23.850000,22.950001,23.160000,23.160000,42146600
2021-01-08,23.190001,24.299999,23.020000,23.840000,23.840000,43988100
2021-01-11,23.500000,23.850000,23.330000,23.490000,23.490000,26648100
2021-01-12,23.600000,24.320000,23.250000,24.200001,24.200001,35040100
2021-01-13,24.200001,24.200001,23.549999,24.020000,24.020000,25610200
2021-01-14,24.150000,24.160000,23.500000,23.730000,23.730000,25548400
2021-01-15,23.730000,24.110001,23.350000,23.959999,23.959999,32761100
2021-01-18,24.049999,24.650000,23.910000,24.450001,24.450001,24257200
2021-01-19,24.540001,24.950001,23.820000,24.080000,24.080000,21025600
2021-01-20,24.180000,25.530001,24.120001,25.420000,25.420000,48089300
2021-01-21,25.400000,25.650000,24.850000,25.490000,25.490000,33038900
2021-01-22,25.129999,26.299999,25.100000,25.990000,25.990000,43004200
2021-01-26,26.250000,27.070000,25.670000,25.750000,25.750000,44474300
2021-01-27,25.719999,26.389999,25.350000,25.790001,25.790001,44942000
2021-01-28,25.870001,26.500000,25.389999,26.190001,26.190001,32819900
2021-01-29,25.740000,26.080000,25.030001,25.270000,25.270000,36141300
2021-02-01,25.680000,25.740000,24.750000,24.930000,24.930000,29267700
2021-02-02,25.299999,25.730000,25.200001,25.299999,25.299999,27563200
2021-02-03,25.440001,25.770000,25.040001,25.650000,25.650000,20963300
2021-02-04,25.639999,26.200001,25.160000,25.309999,25.309999,19706400
2021-02-05,25.379999,26.090000,25.379999,25.850000,25.850000,24918700
2021-02-08,25.850000,26.400000,25.520000,26.160000,26.160000,25773300
2021-02-09,26.160000,26.450001,25.900000,26.240000,26.240000,19348100
2021-02-10,26.100000,26.120001,25.110001,25.299999,25.299999,40037100
2021-02-11,25.299999,25.950001,25.299999,25.650000,25.650000,20569900
2021-02-12,25.520000,25.980000,25.350000,25.910000,25.910000,15132400
2021-02-18,25.500000,25.590000,24.799999,25.040001,25.040001,22577800
2021-02-19,24.920000,25.389999,24.190001,24.940001,24.940001,38672200
2021-02-22,24.230000,24.520000,23.660000,24.250000,24.250000,41412400
2021-02-23,24.299999,25.080000,23.850000,24.860001,24.860001,43889700
2021-02-24,24.930000,25.100000,24.200001,24.639999,24.639999,37411000
2021-02-25,24.590000,25.020000,23.809999,24.049999,24.049999,57969900
2021-02-26,24.080000,24.959999,23.980000,24.180000,24.180000,45690100
2021-03-01,24.559999,25.000000,24.170000,24.549999,24.549999,22131200
2021-03-02,24.290001,24.600000,23.590000,24.270000,24.270000,35351400
2021-03-03,24.530001,25.280001,23.500000,25.120001,25.120001,47195300
2021-03-04,25.110001,25.700001,24.879999,25.440001,25.440001,40538300
2021-03-05,25.190001,25.340000,24.559999,25.129999,25.129999,45992500
2021-03-08,24.690001,24.770000,23.100000,23.100000,23.100000,82907400
2021-03-09,23.549999,23.969999,23.309999,23.389999,23.389999,73816700
2021-03-10,23.750000,25.090000,23.469999,24.900000,24.900000,41874800
2021-03-11,25.070000,25.080000,24.459999,24.799999,24.799999,30648100
2021-03-12,24.600000,24.900000,24.270000,24.570000,24.570000,24567300
2021-03-15,24.350000,24.760000,23.549999,23.719999,23.719999,77116200
2021-03-16,23.820000,24.389999,23.600000,24.150000,24.150000,38217700
2021-03-17,23.860001,24.049999,23.410000,23.940001,23.940001,37571800
