Date,Open,High,Low,Close,Adj Close,Volume
2020-06-12,15.705000,16.250000,15.627500,15.987500,15.878353,68664400
2020-06-15,15.710000,16.462500,15.555000,16.462500,16.350109,58888800
2020-06-16,16.650000,16.867500,16.150000,16.500000,16.387352,62454000
2020-06-17,16.602501,17.165001,16.482500,16.797501,16.682821,77367600
2020-06-18,16.795000,17.730000,16.480000,17.424999,17.306036,78088800
2020-06-19,17.745001,17.934999,17.605000,17.850000,17.728136,80286000
2020-06-22,17.905001,18.084999,17.547501,17.725000,17.603991,37437600
2020-06-23,17.889999,18.022499,17.562500,17.562500,17.442598,29634800
2020-06-24,17.549999,17.895000,17.049999,17.450001,17.330870,42778400
2020-06-25,17.477501,17.674999,17.184999,17.422501,17.303556,31712800
2020-06-26,17.372499,17.727501,17.162500,17.337500,17.219135,32971600
2020-06-29,17.542500,17.602501,17.087500,17.602501,17.482327,33142400
2020-06-30,17.457500,18.225000,17.410000,17.912500,17.790211,51539200
2020-07-01,17.995001,18.125000,17.725000,18.075001,17.951601,35457200
2020-07-02,18.187500,18.312500,17.525000,17.525000,17.405355,43729600
2020-07-03,17.549999,18.012501,17.325001,18.000000,17.877113,28379600
2020-07-06,18.202499,18.295000,17.900000,17.997499,17.874630,32636000
2020-07-07,17.975000,18.697500,17.767500,18.680000,18.552471,49730000
2020-07-08,18.812500,19.174999,18.705000,19.174999,19.044090,46795200
2020-07-09,19.250000,19.895000,19.059999,19.850000,19.714481,46587600
2020-07-10,19.822500,20.250000,19.737499,20.045000,19.908152,51957600
2020-07-13,20.152500,20.549999,20.052500,20.125000,19.987604,44514000
